product_id,product_name,category,subcategory,price_min,price_max,item_type,weight,tags
OFF0114,Minyak Goreng Bimoli 500g,Household,Minyak Goreng Bimoli,15989,31617,offline,0.069,"minyak,goreng,bimoli"
OFF0115,Tisu Nice Pack,Household,Tisu Nice,12059,26623,offline,0.088,"tisu,nice"
OFF0116,Gula Pasir 1kg Small,Household,Gula Pasir 1kg,4897,8867,offline,0.186,"gula,pasir,1kg"
OFF0117,Minyak Goreng Bimoli 500g,Household,Minyak Goreng Bimoli,4212,21994,offline,0.143,"minyak,goreng,bimoli"
OFF0118,Royco Ayam Large,Household,Royco Ayam,11901,31734,offline,0.057,"royco,ayam"
OFF0119,Tisu Nice Large,Household,Tisu Nice,16139,19140,offline,0.13,"tisu,nice"
OFF0120,Royco Ayam 500g,Household,Royco Ayam,18419,27360,offline,0.178,"royco,ayam"
OFF0121,Royco Ayam 250g,Household,Royco Ayam,19458,33730,offline,0.062,"royco,ayam"
OFF0122,Sunlight Lemon 250g,Household,Sunlight Lemon,12395,25396,offline,0.11,"sunlight,lemon"
OFF0123,Kecap Bango 620ml 250g,Household,Kecap Bango 620ml,12917,22939,offline,0.095,"kecap,bango,620ml"
OFF0124,Sunlight Lemon 250g,Household,Sunlight Lemon,18705,44546,offline,0.05,"sunlight,lemon"
OFF0125,Rinso Cair Large,Household,Rinso Cair,16991,27178,offline,0.17,"rinso,cair"
OFF0126,Tisu Nice,Household,Tisu Nice,5538,18496,offline,0.199,"tisu,nice"
OFF0127,Garam Dapur 250g,Household,Garam Dapur,7998,14808,offline,0.109,"garam,dapur"
OFF0128,Gas Mini 500g,Household,Gas Mini,13844,41917,offline,0.078,"gas,mini"
OFF0129,Rinso Cair 500g,Household,Rinso Cair,6132,24391,offline,0.176,"rinso,cair"
OFF0130,Gas Mini 500g,Household,Gas Mini,15681,38990,offline,0.085,"gas,mini"
OFF0131,Garam Dapur 250g,Household,Garam Dapur,4354,31098,offline,0.09,"garam,dapur"
OFF0132,Masako Ayam Small,Household,Masako Ayam,5415,15269,offline,0.093,"masako,ayam"
OFF0133,Kecap Bango 620ml,Household,Kecap Bango 620ml,19368,37819,offline,0.105,"kecap,bango,620ml"
OFF0134,Gas Mini Pack,Household,Gas Mini,14743,35696,offline,0.074,"gas,mini"
OFF0135,Tisu Nice Pack,Household,Tisu Nice,10984,29667,offline,0.039,"tisu,nice"
OFF0136,Rinso Cair,Household,Rinso Cair,9806,33953,offline,0.134,"rinso,cair"
OFF0137,Wipol Karbol 500g,Household,Wipol Karbol,13923,40502,offline,0.161,"wipol,karbol"
OFF0138,Sunlight Lemon Small,Household,Sunlight Lemon,5054,18094,offline,0.169,"sunlight,lemon"
OFF0139,Teh Celup Sariwangi Small,Household,Teh Celup Sariwangi,17823,39706,offline,0.16,"teh,celup,sariwangi"
OFF0140,Blue Band 200g,Household,Blue Band 200g,7340,25306,offline,0.059,"blue,band,200g"
OFF0141,Gas Mini Pack,Household,Gas Mini,12789,30244,offline,0.064,"gas,mini"
OFF0142,Blue Band 200g Pack,Household,Blue Band 200g,18387,29186,offline,0.125,"blue,band,200g"
OFF0143,Sikat WC 250g,Household,Sikat WC,3322,12883,offline,0.065,"sikat,wc"
OFF0144,Kecap Bango 620ml,Household,Kecap Bango 620ml,10203,20234,offline,0.05,"kecap,bango,620ml"
OFF0145,Gas Mini,Household,Gas Mini,6689,16099,offline,0.102,"gas,mini"
OFF0146,Rexona Men 500g,PersonalCare,Rexona Men,16958,27590,offline,0.033,"rexona,men"
OFF0147,Ponds White Beauty 500g,PersonalCare,Ponds White Beauty,5375,25603,offline,0.197,"ponds,white,beauty"
OFF0148,Biore Body Foam 250g,PersonalCare,Biore Body Foam,15858,30237,offline,0.023,"biore,body,foam"
OFF0149,Lifebuoy Total 250g,PersonalCare,Lifebuoy Total,14557,20714,offline,0.167,"lifebuoy,total"
OFF0150,Lifebuoy Total 500g,PersonalCare,Lifebuoy Total,14315,34153,offline,0.19,"lifebuoy,total"
OFF0151,Ponds White Beauty Small,PersonalCare,Ponds White Beauty,13226,24469,offline,0.094,"ponds,white,beauty"
OFF0152,Dove Beauty Bar 500g,PersonalCare,Dove Beauty Bar,15836,26932,offline,0.171,"dove,beauty,bar"
OFF0153,Garnier Sakura White Small,PersonalCare,Garnier Sakura White,13236,20380,offline,0.186,"garnier,sakura,white"
OFF0154,Nivea Men Facial Wash Large,PersonalCare,Nivea Men Facial Wash,5705,23750,offline,0.04,"nivea,men,facial,wash"
OFF0155,Biore Body Foam Pack,PersonalCare,Biore Body Foam,6918,10351,offline,0.064,"biore,body,foam"
OFF0156,Pepsodent Whitening Small,PersonalCare,Pepsodent Whitening,9897,22197,offline,0.017,"pepsodent,whitening"
OFF0157,Garnier Sakura White 500g,PersonalCare,Garnier Sakura White,5403,20790,offline,0.054,"garnier,sakura,white"
OFF0158,Closeup Menthol,PersonalCare,Closeup Menthol,6455,30622,offline,0.099,"closeup,menthol"
OFF0159,Dove Beauty Bar 500g,PersonalCare,Dove Beauty Bar,16501,39551,offline,0.034,"dove,beauty,bar"
OFF0160,Vaseline Lotion Small,PersonalCare,Vaseline Lotion,13725,28200,offline,0.153,"vaseline,lotion"
OFF0161,Citra Lotion 500g,PersonalCare,Citra Lotion,7336,26707,offline,0.127,"citra,lotion"
OFF0162,Shampoo Clear Large,PersonalCare,Shampoo Clear,15069,24637,offline,0.098,"shampoo,clear"
OFF0163,Rexona Men,PersonalCare,Rexona Men,4793,29767,offline,0.052,"rexona,men"
OFF0164,Shampoo Clear 500g,PersonalCare,Shampoo Clear,9285,15339,offline,0.135,"shampoo,clear"
OFF0165,Ponds White Beauty Small,PersonalCare,Ponds White Beauty,8063,30395,offline,0.071,"ponds,white,beauty"
OFF0166,Dove Beauty Bar 500g,PersonalCare,Dove Beauty Bar,7059,28348,offline,0.118,"dove,beauty,bar"
OFF0167,Lifebuoy Total Large,PersonalCare,Lifebuoy Total,3202,31708,offline,0.165,"lifebuoy,total"
OFF0168,Dove Beauty Bar 500g,PersonalCare,Dove Beauty Bar,7491,15411,offline,0.138,"dove,beauty,bar"
OFF0169,Lifebuoy Total Large,PersonalCare,Lifebuoy Total,3956,29354,offline,0.171,"lifebuoy,total"
OFF0170,Citra Lotion 500g,PersonalCare,Citra Lotion,3228,30051,offline,0.084,"citra,lotion"
OFF0171,Vaseline Lotion Large,PersonalCare,Vaseline Lotion,10502,20065,offline,0.172,"vaseline,lotion"
OFF0172,Closeup Menthol 500g,PersonalCare,Closeup Menthol,19247,31516,offline,0.036,"closeup,menthol"
OFF0173,Dove Beauty Bar 250g,PersonalCare,Dove Beauty Bar,4579,20820,offline,0.099,"dove,beauty,bar"
OFF0174,Biore Body Foam Large,PersonalCare,Biore Body Foam,10985,15147,offline,0.014,"biore,body,foam"
OFF0175,Biore Body Foam,PersonalCare,Biore Body Foam,11140,40185,offline,0.059,"biore,body,foam"
OFF0176,Garnier Sakura White Small,PersonalCare,Garnier Sakura White,19541,33152,offline,0.035,"garnier,sakura,white"
OFF0177,Ponds White Beauty Small,PersonalCare,Ponds White Beauty,7360,24215,offline,0.095,"ponds,white,beauty"
OFF0178,Closeup Menthol Large,PersonalCare,Closeup Menthol,3010,5382,offline,0.161,"closeup,menthol"
OFF0179,Vaseline Lotion,PersonalCare,Vaseline Lotion,11421,21360,offline,0.133,"vaseline,lotion"
OFF0180,Pepsodent Whitening Large,PersonalCare,Pepsodent Whitening,14210,25814,offline,0.052,"pepsodent,whitening"
OFF0181,Zwitsal Shampoo Pack,BabyCare,Zwitsal Shampoo,19854,38929,offline,0.182,"zwitsal,shampoo"
OFF0182,Bebelac 3 500g,BabyCare,Bebelac 3,11491,18949,offline,0.037,"bebelac,3"
OFF0183,SGM 1+ Pack,BabyCare,SGM 1+,8092,24891,offline,0.098,"sgm,1+"
OFF0184,Bebelac 3 Small,BabyCare,Bebelac 3,18056,44725,offline,0.117,"bebelac,3"
OFF0185,Cussons Baby Soap 500g,BabyCare,Cussons Baby Soap,11881,39071,offline,0.119,"cussons,baby,soap"
OFF0186,Diapers Merries Small,BabyCare,Diapers Merries,8291,11511,offline,0.149,"diapers,merries"
OFF0187,Zwitsal Shampoo 500g,BabyCare,Zwitsal Shampoo,10834,20200,offline,0.19,"zwitsal,shampoo"
OFF0188,SGM 1+ Small,BabyCare,SGM 1+,18058,29588,offline,0.08,"sgm,1+"
OFF0189,Pigeon Bottle,BabyCare,Pigeon Bottle,3646,15264,offline,0.082,"pigeon,bottle"
OFF0190,Johnson Baby Powder Small,BabyCare,Johnson Baby Powder,12723,26592,offline,0.121,"johnson,baby,powder"
OFF0191,Cussons Baby Soap Small,BabyCare,Cussons Baby Soap,11846,40796,offline,0.144,"cussons,baby,soap"
OFF0192,Johnson Baby Powder Small,BabyCare,Johnson Baby Powder,7078,12229,offline,0.188,"johnson,baby,powder"
OFF0193,Cussons Baby Soap,BabyCare,Cussons Baby Soap,19941,49851,offline,0.116,"cussons,baby,soap"
OFF0194,Diapers Merries 500g,BabyCare,Diapers Merries,8558,16262,offline,0.015,"diapers,merries"
OFF0195,Sweety Silver Large,BabyCare,Sweety Silver,10638,20311,offline,0.165,"sweety,silver"
OFF0196,Johnson Baby Powder Small,BabyCare,Johnson Baby Powder,18695,24626,offline,0.186,"johnson,baby,powder"
OFF0197,Zwitsal Shampoo Small,BabyCare,Zwitsal Shampoo,3224,21212,offline,0.072,"zwitsal,shampoo"
OFF0198,MamyPoko Pants Large,BabyCare,MamyPoko Pants,10403,17804,offline,0.08,"mamypoko,pants"
OFF0199,Cussons Baby Soap 250g,BabyCare,Cussons Baby Soap,18328,31216,offline,0.04,"cussons,baby,soap"
OFF0200,Diapers Merries Large,BabyCare,Diapers Merries,9890,20425,offline,0.165,"diapers,merries"
OFF0201,French Fries 1kg Pack,FrozenFood,French Fries 1kg,5426,24844,offline,0.161,"french,fries,1kg"
OFF0202,Fish Stick 500g,FrozenFood,Fish Stick,17935,23430,offline,0.121,"fish,stick"
OFF0203,So Nice Sosis Small,FrozenFood,So Nice Sosis,13014,38033,offline,0.107,"so,nice,sosis"
OFF0204,Siomay Frozen Small,FrozenFood,Siomay Frozen,6079,23889,offline,0.143,"siomay,frozen"
OFF0205,Tempura Pack Large,FrozenFood,Tempura Pack,18994,23780,offline,0.056,"tempura,pack"
OFF0206,So Good Nugget Large,FrozenFood,So Good Nugget,10979,29866,offline,0.044,"so,good,nugget"
OFF0207,So Good Nugget 500g,FrozenFood,So Good Nugget,16679,28548,offline,0.077,"so,good,nugget"
OFF0208,So Good Nugget,FrozenFood,So Good Nugget,3117,22300,offline,0.187,"so,good,nugget"
OFF0209,Fiesta Karage Pack,FrozenFood,Fiesta Karage,12180,29758,offline,0.147,"fiesta,karage"
OFF0210,Tempura Pack,FrozenFood,Tempura Pack,13511,24066,offline,0.054,"tempura,pack"
OFF0211,French Fries 1kg,FrozenFood,French Fries 1kg,17440,20452,offline,0.151,"french,fries,1kg"
OFF0212,Kanzler Singles Small,FrozenFood,Kanzler Singles,16039,38860,offline,0.18,"kanzler,singles"
OFF0213,So Good Nugget Pack,FrozenFood,So Good Nugget,14850,35760,offline,0.142,"so,good,nugget"
OFF0214,French Fries 1kg 500g,FrozenFood,French Fries 1kg,16953,32004,offline,0.119,"french,fries,1kg"
OFF0215,Bakso Sapi Small,FrozenFood,Bakso Sapi,3101,5145,offline,0.125,"bakso,sapi"
OFF0216,So Good Nugget 500g,FrozenFood,So Good Nugget,18662,35714,offline,0.152,"so,good,nugget"
OFF0217,Fiesta Karage Large,FrozenFood,Fiesta Karage,14657,32529,offline,0.11,"fiesta,karage"
OFF0218,So Nice Sosis Pack,FrozenFood,So Nice Sosis,18001,29196,offline,0.162,"so,nice,sosis"
OFF0219,Siomay Frozen Large,FrozenFood,Siomay Frozen,10967,40367,offline,0.168,"siomay,frozen"
OFF0220,Bakso Sapi Small,FrozenFood,Bakso Sapi,12779,16124,offline,0.133,"bakso,sapi"
OFF0221,Staples Mini 250g,ElectronicsMisc,Staples Mini,9043,21710,offline,0.198,"staples,mini"
OFF0222,Staples Mini 250g,ElectronicsMisc,Staples Mini,5774,24442,offline,0.019,"staples,mini"
OFF0223,Korek Gas,ElectronicsMisc,Korek Gas,12282,37885,offline,0.07,"korek,gas"
OFF0224,Korek Gas 250g,ElectronicsMisc,Korek Gas,6944,25018,offline,0.144,"korek,gas"
OFF0225,Earphone Standard Small,ElectronicsMisc,Earphone Standard,12824,34987,offline,0.178,"earphone,standard"
OFF0226,Staples Mini Small,ElectronicsMisc,Staples Mini,7577,17241,offline,0.149,"staples,mini"
OFF0227,Kabel Data USB-C Pack,ElectronicsMisc,Kabel Data USB-C,19812,40537,offline,0.056,"kabel,data,usb-c"
OFF0228,Baterai AAA Small,ElectronicsMisc,Baterai AAA,13948,26662,offline,0.05,"baterai,aaa"
OFF0229,Earphone Standard Large,ElectronicsMisc,Earphone Standard,16225,36985,offline,0.033,"earphone,standard"
OFF0230,Kabel Data USB-C Large,ElectronicsMisc,Kabel Data USB-C,17514,26828,offline,0.16,"kabel,data,usb-c"
OFF0231,Korek Gas,ElectronicsMisc,Korek Gas,9777,28526,offline,0.156,"korek,gas"
OFF0232,LED Bulb 10W,ElectronicsMisc,LED Bulb 10W,19273,25747,offline,0.12,"led,bulb,10w"
OFF0233,Staples Mini 500g,ElectronicsMisc,Staples Mini,10544,32020,offline,0.133,"staples,mini"
OFF0234,Kabel Data USB-C Large,ElectronicsMisc,Kabel Data USB-C,9726,26549,offline,0.172,"kabel,data,usb-c"
OFF0235,LED Bulb 10W Small,ElectronicsMisc,LED Bulb 10W,14736,31862,offline,0.098,"led,bulb,10w"
OFF0236,Baterai AA 250g,ElectronicsMisc,Baterai AA,11779,21222,offline,0.089,"baterai,aa"
OFF0237,Baterai AAA 250g,ElectronicsMisc,Baterai AAA,11614,31684,offline,0.049,"baterai,aaa"
OFF0238,Korek Gas Pack,ElectronicsMisc,Korek Gas,16649,20038,offline,0.114,"korek,gas"
OFF0239,Baterai AA,ElectronicsMisc,Baterai AA,11505,37310,offline,0.143,"baterai,aa"
OFF0240,LED Bulb 10W Small,ElectronicsMisc,LED Bulb 10W,3095,21652,offline,0.077,"led,bulb,10w"
OFF0241,Pulsa XL 20k,PulsaVoucher,Pulsa XL 20k,7517,19843,offline,0.011,"pulsa,xl,20k"
OFF0242,Pulsa Telkomsel 10k 500g,PulsaVoucher,Pulsa Telkomsel 10k,7466,33194,offline,0.012,"pulsa,telkomsel,10k"
OFF0243,Pulsa Telkomsel 20k 250g,PulsaVoucher,Pulsa Telkomsel 20k,15266,45143,offline,0.194,"pulsa,telkomsel,20k"
OFF0244,Token PLN 20k 500g,PulsaVoucher,Token PLN 20k,18454,23778,offline,0.156,"token,pln,20k"
OFF0245,Voucher Google Play 20k Large,PulsaVoucher,Voucher Google Play 20k,3094,13442,offline,0.16,"voucher,google,play,20k"
OFF0246,Pulsa Telkomsel 20k,PulsaVoucher,Pulsa Telkomsel 20k,12769,38175,offline,0.178,"pulsa,telkomsel,20k"
OFF0247,Token PLN 50k Pack,PulsaVoucher,Token PLN 50k,9780,34512,offline,0.158,"token,pln,50k"
OFF0248,Token PLN 50k 500g,PulsaVoucher,Token PLN 50k,14145,21433,offline,0.198,"token,pln,50k"
OFF0249,Pulsa Telkomsel 20k Small,PulsaVoucher,Pulsa Telkomsel 20k,9201,35676,offline,0.016,"pulsa,telkomsel,20k"
OFF0250,Token PLN 50k Large,PulsaVoucher,Token PLN 50k,18737,46705,offline,0.08,"token,pln,50k"
OFF0251,Pulsa XL 20k,PulsaVoucher,Pulsa XL 20k,9891,27785,offline,0.164,"pulsa,xl,20k"
