persona_id,date,amount,merchant,category,payment_method,bank,tx_type,description,balance_after,transaction_id
P012,2025-01-01 15:29:00,29206,PUBG Mobile,Entertainment,Transfer,Mandiri,debit,Transaksi di PUBG Mobile,2170794,TX000021
P193,2025-01-01 15:44:00,35467,Orang Tua,Snacks,Debit,BNI,debit,Transaksi di Orang Tua,22464533,TX000022
P047,2025-01-01 15:58:00,94574,Arnotts,Snacks,Cash,,debit,Transaksi di Arnotts,3455426,TX000023
P188,2025-01-01 16:00:00,46110,Pasar Tradisional,Groceries,Cash,,debit,Transaksi di Pasar Tradisional,49953890,TX000024
P007,2025-01-01 16:42:00,38714,Alfamidi,Groceries,QRIS,Mandiri,debit,Transaksi di Alfamidi,3161286,TX000025
P189,2025-01-01 17:01:00,1652497,Zoya,Fashion,Cash,,debit,Transaksi di Zoya,26338775,TX000026
P076,2025-01-01 17:12:00,421974,Roblox,Entertainment,Transfer,Mandiri,debit,Transaksi di Roblox,4578026,TX000027
P194,2025-01-01 17:44:00,20463,Alfamart/Indomaret,Beverages,Debit,BCA,debit,Transaksi di Alfamart/Indomaret,32979537,TX000028
P110,2025-01-01 17:52:00,65555,Disney+ Hotstar,Entertainment,Transfer,BNI,debit,Transaksi di Disney+ Hotstar,6534445,TX000029
P068,2025-01-01 18:03:00,90436,McDonald's,Dining Out,Cash,,debit,Transaksi di McDonald's,6409564,TX000030
P036,2025-01-01 18:06:00,220470,Grand Lucky,Groceries,QRIS,BRI,debit,Transaksi di Grand Lucky,3979530,TX000031
P120,2025-01-01 18:16:00,170028,Indomaret,Groceries,Cash,,debit,Transaksi di Indomaret,6529972,TX000032
P053,2025-01-01 18:21:00,16995,Wings Food,Beverages,Debit,BCA,debit,Transaksi di Wings Food,6583005,TX000033
P143,2025-01-01 19:17:00,24021,Beam / Apps,Entertainment,Transfer,Mandiri,debit,Transaksi di Beam / Apps,33575979,TX000034
P001,2025-01-01 19:17:00,69795,Mie Gacoan,Dining Out,Debit,BNI,debit,Transaksi di Mie Gacoan,3630205,TX000035
P086,2025-01-01 19:27:00,76140,Mondelez,Snacks,Debit,BNI,debit,Transaksi di Mondelez,5241127,TX000036
P116,2025-01-01 19:30:00,38260,Warung Nasi Goreng,Dining Out,Debit,BCA,debit,Transaksi di Warung Nasi Goreng,8761740,TX000037
P168,2025-01-01 20:00:00,105566,Cinepolis,Entertainment,Transfer,Mandiri,debit,Transaksi di Cinepolis,18694434,TX000038
P181,2025-01-01 20:25:00,63842,Modern Retail,Baby Care,Cash,,debit,Transaksi di Modern Retail,41936158,TX000039
P194,2025-01-01 20:34:00,75852,Modern Retail,Baby Care,Cash,,debit,Transaksi di Modern Retail,32903685,TX000040
P117,2025-01-01 20:44:00,354454,Wings Official,Baby Care,Debit,Mandiri,debit,Transaksi di Wings Official,9845546,TX000041
P176,2025-01-01 21:04:00,116214,Modern Retail,Baby Care,Cash,,debit,Transaksi di Modern Retail,17883786,TX000042
P151,2025-01-01 21:10:00,288771,Mie Gacoan,Dining Out,Cash,,debit,Transaksi di Mie Gacoan,44711229,TX000043
P030,2025-01-01 21:10:00,76246,Pasar Tradisional,Groceries,Cash,,debit,Transaksi di Pasar Tradisional,3848325,TX000044
P195,2025-01-01 21:17:00,70462,Cinema XXI (F&B),Entertainment,Transfer,Mandiri,debit,Transaksi di Cinema XXI (F&B),58929538,TX000045
P162,2025-01-01 22:25:00,139911,Ranch Market,Groceries,Cash,,debit,Transaksi di Ranch Market,15323231,TX000046
P020,2025-01-01 22:29:00,203888,Point Coffee,Dining Out,Debit,BCA,debit,Transaksi di Point Coffee,5996112,TX000047
P062,2025-01-01 22:41:00,241834,Pizza Hut,Dining Out,Cash,,debit,Transaksi di Pizza Hut,8958166,TX000048
P015,2025-01-01 22:50:00,43352,Modern Retail,Baby Care,Debit,BNI,debit,Transaksi di Modern Retail,2856648,TX000049
P163,2025-01-02 08:14:00,11702,Tukang Sayur Keliling,Groceries,Debit,Mandiri,debit,Transaksi di Tukang Sayur Keliling,13988298,TX000050
P009,2025-01-02 08:41:00,147753,Alfamart,Groceries,Cash,,debit,Transaksi di Alfamart,8052247,TX000051
P111,2025-01-02 09:23:00,27606,Warteg Bahari,Dining Out,Debit,BCA,debit,Transaksi di Warteg Bahari,22972394,TX000052
P005,2025-01-02 09:26:00,30395,Alfamart/Indomaret,Beverages,Cash,,debit,Transaksi di Alfamart/Indomaret,3869605,TX000053
P153,2025-01-02 09:32:00,3894260,Nike Store,Fashion,Debit,Mandiri,debit,Transaksi di Nike Store,11299041,TX000054
P028,2025-01-02 10:04:00,3124017,Adidas Store,Fashion,Debit,BRI,debit,Transaksi di Adidas Store,1975983,TX000055
P188,2025-01-02 10:33:00,28314,Modern Retail,Baby Care,Cash,,debit,Transaksi di Modern Retail,49925576,TX000056
P170,2025-01-02 10:35:00,8131,Modern Retail,Beverages,Debit,BNI,debit,Transaksi di Modern Retail,28840140,TX000057
P004,2025-01-02 10:47:00,98986,Lotte Mart,Groceries,QRIS,BRI,debit,Transaksi di Lotte Mart,4701014,TX000058
P122,2025-01-02 11:08:00,21303,Premium Store,Beverages,Debit,BRI,debit,Transaksi di Premium Store,21978697,TX000059
P143,2025-01-02 11:20:00,74600,Superindo,Groceries,QRIS,BNI,debit,Transaksi di Superindo,33501379,TX000060
P128,2025-01-02 12:01:00,20672,Warung Kelontong,Groceries,Debit,BNI,debit,Transaksi di Warung Kelontong,12979328,TX000061
P113,2025-01-02 12:07:00,2541326,Buttonscarves,Fashion,Cash,,debit,Transaksi di Buttonscarves,11458674,TX000062
P191,2025-01-02 12:15:00,41328,Wings Food,Snacks,QRIS,BRI,debit,Transaksi di Wings Food,65958672,TX000063
P149,2025-01-02 12:46:00,200034,Netflix,Entertainment,Transfer,BNI,debit,Transaksi di Netflix,29399966,TX000064
P188,2025-01-02 12:50:00,114285,Prima Freshmart,Groceries,Cash,,debit,Transaksi di Prima Freshmart,49811291,TX000065
P110,2025-01-02 14:12:00,36889,Warung Kelontong,Groceries,Debit,BRI,debit,Transaksi di Warung Kelontong,6497556,TX000066
P151,2025-01-02 14:24:00,94422,Agen Le Minerale,Beverages,Debit,Mandiri,debit,Transaksi di Agen Le Minerale,44616807,TX000067
P032,2025-01-02 14:28:00,83283,Modern Retail,Beverages,Debit,BRI,debit,Transaksi di Modern Retail,2916717,TX000068
P033,2025-01-02 14:38:00,33432,Toko Bahan Kue,Groceries,Debit,BCA,debit,Transaksi di Toko Bahan Kue,4266568,TX000069
P065,2025-01-02 15:22:00,263132,McDonald's,Dining Out,Debit,BNI,debit,Transaksi di McDonald's,9236868,TX000070
P094,2025-01-02 15:31:00,271063,Multi Toys,Entertainment,Transfer,Mandiri,debit,Transaksi di Multi Toys,10728937,TX000071
P162,2025-01-02 15:37:00,49882,Restaurant/Cafe,Beverages,Debit,Mandiri,debit,Transaksi di Restaurant/Cafe,15273349,TX000072
P175,2025-01-02 15:43:00,18364,Modern Retail,Beverages,QRIS,BNI,debit,Transaksi di Modern Retail,59981636,TX000073
P028,2025-01-02 15:51:00,11791,Alfamart,Groceries,Debit,BCA,debit,Transaksi di Alfamart,1964192,TX000074
P189,2025-01-02 15:57:00,69540,Ranch Market,Groceries,Cash,,debit,Transaksi di Ranch Market,26269235,TX000075
P040,2025-01-02 16:08:00,236407,Taman Safari,Entertainment,Transfer,BNI,debit,Transaksi di Taman Safari,4363593,TX000076
P117,2025-01-02 16:08:00,70605,Warung Kelontong,Groceries,QRIS,Mandiri,debit,Transaksi di Warung Kelontong,9774941,TX000077
P156,2025-01-02 16:43:00,76010,Mayora,Snacks,QRIS,BCA,debit,Transaksi di Mayora,26323990,TX000078
P056,2025-01-02 16:45:00,65059,Wings Food,Beverages,Debit,Mandiri,debit,Transaksi di Wings Food,2434941,TX000079
P055,2025-01-02 18:03:00,36351,Modern Retail,Beverages,Cash,,debit,Transaksi di Modern Retail,3113649,TX000080
P143,2025-01-02 18:04:00,198546,Swallow Official,Fashion,Cash,,debit,Transaksi di Swallow Official,33302833,TX000081
P009,2025-01-02 18:13:00,5901680,Adira Finance,Billing & Utilities,Debit,BRI,debit,Transaksi di Adira Finance,2150567,TX000082
P131,2025-01-02 18:47:00,64372,Agen Aqua,Beverages,QRIS,BNI,debit,Transaksi di Agen Aqua,10902376,TX000083
P193,2025-01-02 19:02:00,4025070,Zara Indonesia,Fashion,QRIS,BCA,debit,Transaksi di Zara Indonesia,18439463,TX000084
P171,2025-01-02 19:12:00,109085,Kopi Kenangan,Dining Out,Debit,Mandiri,debit,Transaksi di Kopi Kenangan,24890915,TX000085
P048,2025-01-02 19:48:00,11817,Modern Retail,Beverages,Cash,,debit,Transaksi di Modern Retail,1988183,TX000086
P139,2025-01-02 20:12:00,225635,Starbucks,Dining Out,Cash,,debit,Transaksi di Starbucks,15774365,TX000087
P181,2025-01-02 20:16:00,69090,Pasar Tradisional,Groceries,Cash,,debit,Transaksi di Pasar Tradisional,41867068,TX000088
P152,2025-01-02 20:29:00,23381,Wings Food,Beverages,QRIS,BCA,debit,Transaksi di Wings Food,17176619,TX000089
P134,2025-01-02 21:09:00,63243,Google Play,Entertainment,Transfer,Mandiri,debit,Transaksi di Google Play,28936757,TX000090
P171,2025-01-02 21:14:00,690345,Frozen Food Store,Groceries,Debit,BNI,debit,Transaksi di Frozen Food Store,24200570,TX000091
P015,2025-01-02 21:23:00,23712,Mayora,Snacks,QRIS,Mandiri,debit,Transaksi di Mayora,2832936,TX000092
P180,2025-01-02 21:36:00,15580,Indomaret,Groceries,Cash,,debit,Transaksi di Indomaret,34984420,TX000093
P033,2025-01-02 21:58:00,77532,Modern Retail,Beverages,QRIS,Mandiri,debit,Transaksi di Modern Retail,4189036,TX000094
P101,2025-01-03 08:04:00,23018,Modern Retail,Baby Care,Cash,,debit,Transaksi di Modern Retail,18176982,TX000095
P038,2025-01-03 08:15:00,14256,Warteg Bahari,Dining Out,Debit,BRI,debit,Transaksi di Warteg Bahari,7985744,TX000096
P058,2025-01-03 08:16:00,171153,Cinema XXI (F&B),Entertainment,Transfer,Mandiri,debit,Transaksi di Cinema XXI (F&B),2728847,TX000097
P059,2025-01-03 08:32:00,405658,Pasar Tanah Abang,Fashion,Cash,,debit,Transaksi di Pasar Tanah Abang,6945282,TX000098
P198,2025-01-03 08:39:00,28659,GarudaFood,Snacks,Cash,,debit,Transaksi di GarudaFood,42971341,TX000099
P100,2025-01-03 09:08:00,7728024,Adidas Store,Fashion,Debit,BNI,debit,Transaksi di Adidas Store,11471976,TX000100
P125,2025-01-03 09:29:00,233970,Ayam Bakar Wong Solo,Dining Out,Debit,BCA,debit,Transaksi di Ayam Bakar Wong Solo,11766030,TX000101
P011,2025-01-03 09:45:00,144988,Warteg Bahari,Dining Out,Cash,,debit,Transaksi di Warteg Bahari,4755012,TX000102
P154,2025-01-03 09:52:00,196482,Mie Ayam Wonogiri,Dining Out,Cash,,debit,Transaksi di Mie Ayam Wonogiri,27343162,TX000103
P104,2025-01-03 09:59:00,108348,Kanzler,Frozen Food,Cash,,debit,Transaksi di Kanzler,15491652,TX000104
P059,2025-01-03 10:39:00,32639,Taman Impian Jaya Ancol,Entertainment,Transfer,BRI,debit,Transaksi di Taman Impian Jaya Ancol,6912643,TX000105
P108,2025-01-03 10:39:00,120812,Warung Kelontong,Groceries,Cash,,debit,Transaksi di Warung Kelontong,18879188,TX000106
P120,2025-01-03 10:58:00,5196,Indomaret,Groceries,Cash,,debit,Transaksi di Indomaret,6524776,TX000107
P192,2025-01-03 11:01:00,369222,Superindo,Groceries,QRIS,BRI,debit,Transaksi di Superindo,18130778,TX000108
P032,2025-01-03 11:32:00,42420,Mondelez,Snacks,Debit,BNI,debit,Transaksi di Mondelez,2874297,TX000109
P161,2025-01-03 11:46:00,1602872,Zoya,Fashion,QRIS,Mandiri,debit,Transaksi di Zoya,21397128,TX000110
P147,2025-01-03 11:51:00,195723,Netflix,Entertainment,Transfer,BRI,debit,Transaksi di Netflix,25404277,TX000111
P020,2025-01-03 12:27:00,182925,Holland Bakery,Dining Out,Cash,,debit,Transaksi di Holland Bakery,5813187,TX000112
P021,2025-01-03 12:34:00,142837,Inul Vizta (F&B),Entertainment,Transfer,BNI,debit,Transaksi di Inul Vizta (F&B),4357163,TX000113
P109,2025-01-03 13:01:00,90704,Tukang Sayur Keliling,Groceries,Cash,,debit,Transaksi di Tukang Sayur Keliling,7409296,TX000114
P024,2025-01-03 13:49:00,17047,Superindo,Groceries,Cash,,debit,Transaksi di Superindo,7182953,TX000115
P023,2025-01-03 13:59:00,43017,Dua Kelinci,Snacks,Debit,BRI,debit,Transaksi di Dua Kelinci,4706983,TX000116
P083,2025-01-03 14:03:00,94100,Sari Murni,Snacks,Cash,,debit,Transaksi di Sari Murni,6905900,TX000117
P039,2025-01-03 14:19:00,20357,Garena / Shopee,Entertainment,Transfer,BRI,debit,Transaksi di Garena / Shopee,2579643,TX000118
P069,2025-01-03 14:28:00,100424,Superindo,Groceries,Cash,,debit,Transaksi di Superindo,5373848,TX000119
P195,2025-01-03 14:29:00,104982,Taman Impian Jaya Ancol,Entertainment,Transfer,BCA,debit,Transaksi di Taman Impian Jaya Ancol,58824556,TX000120
P110,2025-01-03 14:35:00,99470,Cinepolis,Entertainment,Transfer,BRI,debit,Transaksi di Cinepolis,6398086,TX000121
P010,2025-01-03 14:42:00,41763,Superindo,Groceries,Debit,BRI,debit,Transaksi di Superindo,4158237,TX000122
P196,2025-01-03 14:49:00,133641,Pasar Tradisional,Groceries,Debit,BCA,debit,Transaksi di Pasar Tradisional,25866359,TX000123
P147,2025-01-03 15:17:00,80766,Modern Retail,Beverages,Cash,,debit,Transaksi di Modern Retail,25323511,TX000124
P161,2025-01-03 15:20:00,225032,Haus!,Dining Out,QRIS,BCA,debit,Transaksi di Haus!,21172096,TX000125
P134,2025-01-03 15:20:00,9243,Modern Retail,Beverages,Cash,,debit,Transaksi di Modern Retail,28927514,TX000126
P085,2025-01-03 16:06:00,91090,Yupi,Snacks,Cash,,debit,Transaksi di Yupi,16708910,TX000127
P092,2025-01-03 16:07:00,90403,Modern Retail,Baby Care,Cash,,debit,Transaksi di Modern Retail,8509597,TX000128
P117,2025-01-03 16:23:00,11430,Modern Retail,Beverages,Cash,,debit,Transaksi di Modern Retail,9763511,TX000129
P190,2025-01-03 16:30:00,112443,Ayam Goreng Mbok Berek,Dining Out,QRIS,BRI,debit,Transaksi di Ayam Goreng Mbok Berek,20387557,TX000130
P011,2025-01-03 16:45:00,51077,Google Play,Entertainment,Transfer,BNI,debit,Transaksi di Google Play,4703935,TX000131
P053,2025-01-03 16:46:00,130792,Superindo,Groceries,Cash,,debit,Transaksi di Superindo,6452213,TX000132
P022,2025-01-03 16:46:00,168513,Shihlin Taiwan Snacks,Dining Out,Cash,,debit,Transaksi di Shihlin Taiwan Snacks,1581487,TX000133
P115,2025-01-03 16:47:00,1399800,H&M Indonesia,Fashion,Debit,BRI,debit,Transaksi di H&M Indonesia,7600200,TX000134
P001,2025-01-03 17:27:00,29298,Apotek K-24,Personal Care,Cash,,debit,Transaksi di Apotek K-24,3600907,TX000135
P186,2025-01-03 17:28:00,66588,Modern Retail,Beverages,Cash,,debit,Transaksi di Modern Retail,14933412,TX000136
P073,2025-01-03 18:01:00,59145,HoYoverse,Entertainment,Transfer,BNI,debit,Transaksi di HoYoverse,9740855,TX000137
P095,2025-01-03 18:30:00,175764,Rawon Nguling,Dining Out,Cash,,debit,Transaksi di Rawon Nguling,5024236,TX000138
P191,2025-01-03 19:04:00,9026,Ragunan Zoo,Entertainment,Transfer,Mandiri,debit,Transaksi di Ragunan Zoo,65949646,TX000139
P139,2025-01-03 19:11:00,90246,Mondelez,Snacks,Cash,,debit,Transaksi di Mondelez,15684119,TX000140
P151,2025-01-03 19:28:00,1780601,Zoya,Fashion,Cash,,debit,Transaksi di Zoya,42836206,TX000141
P106,2025-01-03 19:44:00,1065939,Dufan Ancol,Entertainment,Transfer,Mandiri,debit,Transaksi di Dufan Ancol,22934061,TX000142
P138,2025-01-03 19:59:00,124242,KFC,Dining Out,Cash,,debit,Transaksi di KFC,38875758,TX000143
P072,2025-01-03 20:04:00,55300,Nabati,Snacks,Debit,BRI,debit,Transaksi di Nabati,8944700,TX000144
P119,2025-01-03 20:06:00,299549,Kopi Kenangan,Dining Out,Cash,,debit,Transaksi di Kopi Kenangan,7777850,TX000145
P060,2025-01-03 20:08:00,192768,KFC,Dining Out,Cash,,debit,Transaksi di KFC,9007232,TX000146
P110,2025-01-03 20:19:00,111602,Indomaret,Groceries,Cash,,debit,Transaksi di Indomaret,6286484,TX000147
P159,2025-01-03 20:20:00,74661,Zoya,Fashion,Cash,,debit,Transaksi di Zoya,31925339,TX000148
P111,2025-01-03 20:27:00,80436,Cafe Lokal / Coffee Shop,Dining Out,Debit,BNI,debit,Transaksi di Cafe Lokal / Coffee Shop,22891958,TX000149
P149,2025-01-03 20:28:00,2965588,Samsat Jabar,Billing & Utilities,Cash,,debit,Transaksi di Samsat Jabar,26434378,TX000150
P002,2025-01-03 20:34:00,98944,Arnotts,Snacks,Debit,Mandiri,debit,Transaksi di Arnotts,2001056,TX000151
P084,2025-01-03 20:47:00,599800,H&M Indonesia,Fashion,Cash,,debit,Transaksi di H&M Indonesia,8600200,TX000152
P143,2025-01-03 20:55:00,74330,Dua Kelinci,Snacks,Debit,BRI,debit,Transaksi di Dua Kelinci,33228503,TX000153
P195,2025-01-03 21:00:00,84195,KFC,Dining Out,Debit,BRI,debit,Transaksi di KFC,58740361,TX000154
P169,2025-01-03 21:40:00,69285,Orang Tua,Snacks,Debit,BRI,debit,Transaksi di Orang Tua,19130715,TX000155
P121,2025-01-03 21:54:00,9839460,Erigo Store,Fashion,Debit,Mandiri,debit,Transaksi di Erigo Store,8160540,TX000156
P136,2025-01-03 22:22:00,115563,Arnotts,Snacks,Debit,Mandiri,debit,Transaksi di Arnotts,13384437,TX000157
P175,2025-01-03 22:35:00,256389,Ranch Market,Groceries,Cash,,debit,Transaksi di Ranch Market,59725247,TX000158
P047,2025-01-03 22:40:00,28831,Sari Murni,Snacks,Cash,,debit,Transaksi di Sari Murni,3426595,TX000159
P199,2025-01-03 22:45:00,152791,Premium Store,Baby Care,QRIS,BNI,debit,Transaksi di Premium Store,38847209,TX000160
P088,2025-01-03 22:58:00,22260,Modern Retail,Beverages,Debit,Mandiri,debit,Transaksi di Modern Retail,7377740,TX000161
P104,2025-01-04 08:31:00,13495930,Adidas Store,Fashion,Debit,BRI,debit,Transaksi di Adidas Store,1995722,TX000162
P024,2025-01-04 08:40:00,263610,Kao Official,Baby Care,Debit,BNI,debit,Transaksi di Kao Official,6919343,TX000163
P194,2025-01-04 08:59:00,92015,Pasar Tradisional,Groceries,Cash,,debit,Transaksi di Pasar Tradisional,32811670,TX000164
P055,2025-01-04 09:21:00,158300,Warteg Bahari,Dining Out,QRIS,BRI,debit,Transaksi di Warteg Bahari,2955349,TX000165
P159,2025-01-04 10:32:00,494619,Indosat Ooredoo,Billing & Utilities,Debit,BCA,debit,Transaksi di Indosat Ooredoo,31430720,TX000166
P109,2025-01-04 10:47:00,68532,Lotte Mart,Groceries,Debit,BNI,debit,Transaksi di Lotte Mart,7340764,TX000167
P132,2025-01-04 10:56:00,78908,Tomoro Coffee,Dining Out,Debit,Mandiri,debit,Transaksi di Tomoro Coffee,18421092,TX000168
P032,2025-01-04 11:03:00,36213,Ferrero,Snacks,Debit,BCA,debit,Transaksi di Ferrero,2838084,TX000169
P091,2025-01-04 11:17:00,14307,Steam / Tokopedia,Entertainment,Transfer,BCA,debit,Transaksi di Steam / Tokopedia,13585693,TX000170
P046,2025-01-04 11:23:00,129625,Prima Freshmart,Groceries,Debit,BRI,debit,Transaksi di Prima Freshmart,8670375,TX000171
P029,2025-01-04 11:26:00,307112,Warung Kelontong,Groceries,Debit,Mandiri,debit,Transaksi di Warung Kelontong,2492888,TX000172
P085,2025-01-04 11:34:00,48128,Shihlin Taiwan Snacks,Dining Out,QRIS,BCA,debit,Transaksi di Shihlin Taiwan Snacks,16660782,TX000173
P193,2025-01-04 11:37:00,148068,Pizza Hut,Dining Out,Debit,BCA,debit,Transaksi di Pizza Hut,18291395,TX000174
P113,2025-01-04 11:42:00,113624,MAKO Cake & Bakery,Dining Out,Debit,Mandiri,debit,Transaksi di MAKO Cake & Bakery,11345050,TX000175
P154,2025-01-04 11:57:00,13575,Modern Retail,Beverages,Debit,BRI,debit,Transaksi di Modern Retail,27329587,TX000176
P172,2025-01-04 12:01:00,296898,J.CO Donuts & Coffee,Dining Out,Debit,BRI,debit,Transaksi di J.CO Donuts & Coffee,31703102,TX000177
P028,2025-01-04 12:10:00,137673,Agen Telur & Sembako,Groceries,Cash,,debit,Transaksi di Agen Telur & Sembako,1826519,TX000178
P061,2025-01-04 12:32:00,42006,Vidio.com,Entertainment,Transfer,Mandiri,debit,Transaksi di Vidio.com,16957994,TX000179
P160,2025-01-04 12:53:00,38281,Superindo,Groceries,Debit,BCA,debit,Transaksi di Superindo,17761719,TX000180
P122,2025-01-04 13:16:00,97612,Alfamart,Groceries,Debit,BRI,debit,Transaksi di Alfamart,21881085,TX000181
P142,2025-01-04 13:26:00,2773480,Elzatta,Fashion,Debit,BNI,debit,Transaksi di Elzatta,27226520,TX000182
P108,2025-01-04 13:27:00,86814,Lotte,Snacks,Cash,,debit,Transaksi di Lotte,18792374,TX000183
P132,2025-01-04 13:28:00,56130,Alfamart,Groceries,Debit,BRI,debit,Transaksi di Alfamart,18364962,TX000184
P047,2025-01-04 13:47:00,16644,Alfamart,Groceries,QRIS,BNI,debit,Transaksi di Alfamart,3409951,TX000185
P093,2025-01-04 14:05:00,105535,Premium Supermarket,Beverages,Debit,BCA,debit,Transaksi di Premium Supermarket,9294465,TX000186
P065,2025-01-04 14:29:00,1425566,Zoya,Fashion,Debit,BRI,debit,Transaksi di Zoya,7811302,TX000187
P031,2025-01-04 15:04:00,48666,Toko Seragam,Fashion,Debit,BCA,debit,Transaksi di Toko Seragam,3451334,TX000188
P109,2025-01-04 15:08:00,97675,Mayora,Snacks,Cash,,debit,Transaksi di Mayora,7243089,TX000189
P092,2025-01-04 15:52:00,97682,Modern Retail,Baby Care,Cash,,debit,Transaksi di Modern Retail,8411915,TX000190
P065,2025-01-04 16:08:00,603356,Swallow Official,Fashion,Cash,,debit,Transaksi di Swallow Official,7207946,TX000191
P113,2025-01-04 16:08:00,101976,Indomaret,Groceries,QRIS,BRI,debit,Transaksi di Indomaret,11243074,TX000192
P168,2025-01-04 16:23:00,3548322,Nike Store,Fashion,Debit,BRI,debit,Transaksi di Nike Store,15146112,TX000193
P123,2025-01-04 16:30:00,2882061,3Second Store,Fashion,Debit,BNI,debit,Transaksi di 3Second Store,12117939,TX000194
P104,2025-01-04 16:33:00,101668,Belfoods,Frozen Food,Cash,,debit,Transaksi di Belfoods,1894054,TX000195
P195,2025-01-04 16:34:00,433166,3Second Store,Fashion,Cash,,debit,Transaksi di 3Second Store,58307195,TX000196
P019,2025-01-04 16:47:00,73631,Premium Supermarket,Beverages,QRIS,BNI,debit,Transaksi di Premium Supermarket,5126369,TX000197
P132,2025-01-04 16:49:00,43545,Indomaret,Groceries,Debit,BRI,debit,Transaksi di Indomaret,18321417,TX000198
P028,2025-01-04 17:00:00,107794,Mondelez,Snacks,Debit,BNI,debit,Transaksi di Mondelez,1718725,TX000199
P039,2025-01-04 17:02:00,83652,Modern Retail,Beverages,Debit,BCA,debit,Transaksi di Modern Retail,2495991,TX000200
P059,2025-01-04 17:19:00,240771,HoYoverse,Entertainment,Transfer,Mandiri,debit,Transaksi di HoYoverse,6671872,TX000201
P058,2025-01-04 17:48:00,79092,Modern Retail,Beverages,QRIS,Mandiri,debit,Transaksi di Modern Retail,2649755,TX000202
P074,2025-01-04 18:00:00,105072,Pizza Hut,Dining Out,QRIS,BCA,debit,Transaksi di Pizza Hut,7394928,TX000203
P021,2025-01-04 18:04:00,1903919,3Second Store,Fashion,Cash,,debit,Transaksi di 3Second Store,2453244,TX000204
P018,2025-01-04 18:08:00,67271,Mayora,Snacks,Debit,BNI,debit,Transaksi di Mayora,4032729,TX000205
P025,2025-01-04 18:09:00,43030,Bakmi GM,Dining Out,Cash,,debit,Transaksi di Bakmi GM,2356970,TX000206
P156,2025-01-04 18:10:00,7843765,Uniqlo Indonesia,Fashion,Debit,BNI,debit,Transaksi di Uniqlo Indonesia,18480225,TX000207
P182,2025-01-04 18:22:00,312861,Museum Macan,Entertainment,Transfer,BCA,debit,Transaksi di Museum Macan,23687139,TX000208
P165,2025-01-04 18:27:00,7033,Alfamart/Indomaret,Beverages,QRIS,BNI,debit,Transaksi di Alfamart/Indomaret,24392967,TX000209
P199,2025-01-04 18:48:00,315785,Vigo,Frozen Food,QRIS,BCA,debit,Transaksi di Vigo,38531424,TX000210
P005,2025-01-04 18:49:00,23434,Yupi,Snacks,QRIS,Mandiri,debit,Transaksi di Yupi,3846171,TX000211
