persona_id,cluster,age,city,job,marital_status,household_size,monthly_income,tech_usage,spending_style,salary_day,daily_cap,tx_mean,start_date
P171,disciplined_saver,35,Jakarta,Pegawai Swasta,Single,1,25000000,Medium,Saver,25,350000,2.5,2020-02-15
P172,disciplined_saver,40,Surabaya,Wirausaha,Married,3,32000000,Low,Saver,10,420000,2.8,2020-06-10
P173,disciplined_saver,38,Bandung,Freelancer,Married,2,22000000,Medium,Saver,15,300000,2.6,2021-04-20
P174,disciplined_saver,45,Medan,Pegawai Swasta,Married,4,28000000,Low,Saver,25,380000,3,2020-11-05
P175,disciplined_saver,29,Jakarta,Wirausaha,Single,1,30000000,Medium,Saver,5,400000,2.4,2021-09-12
P176,disciplined_saver,33,Semarang,Ibu Rumah Tangga,Married,3,18000000,Low,Saver,30,250000,2.7,2020-03-22
P177,disciplined_saver,42,Denpasar,Pegawai Swasta,Married,2,26000000,Medium,Saver,28,360000,2.9,2020-08-30
P178,disciplined_saver,36,Yogyakarta,Freelancer,Single,1,20000000,High,Saver,20,280000,2.5,2021-12-08
P179,disciplined_saver,31,Jakarta,Pegawai Swasta,Married,2,29000000,Medium,Saver,25,390000,2.8,2020-10-14
P180,disciplined_saver,39,Surabaya,Wirausaha,Married,4,35000000,Low,Saver,10,450000,3.1,2020-01-28
P181,disciplined_saver,34,Bandung,Ibu Rumah Tangga,Married,2,21000000,Medium,Saver,30,290000,2.7,2020-05-09
P182,disciplined_saver,41,Medan,Pegawai Swasta,Single,1,24000000,Low,Saver,25,330000,2.6,2021-03-18
P183,disciplined_saver,30,Jakarta,Freelancer,Married,3,27000000,High,Saver,15,370000,2.9,2021-08-02
P184,disciplined_saver,37,Semarang,Wirausaha,Married,2,19000000,Medium,Saver,5,260000,2.6,2020-12-12
P185,disciplined_saver,44,Denpasar,Pegawai Swasta,Married,4,23000000,Low,Saver,25,310000,3,2020-09-20
P186,disciplined_saver,28,Yogyakarta,Mahasiswa,Single,1,15000000,Medium,Saver,1,200000,2.2,2022-02-14
P187,disciplined_saver,32,Jakarta,Pegawai Swasta,Married,2,31000000,Medium,Saver,28,410000,2.8,2020-07-29
P188,disciplined_saver,46,Surabaya,Ibu Rumah Tangga,Married,3,25000000,Low,Saver,30,340000,2.9,2020-04-16
P189,disciplined_saver,35,Bandung,Wirausaha,Single,1,28000000,Medium,Saver,10,380000,2.5,2021-10-22
P190,disciplined_saver,39,Medan,Freelancer,Married,2,20500000,Low,Saver,20,285000,2.7,2020-11-09
P191,disciplined_saver,43,Jakarta,Pegawai Swasta,Married,4,33000000,Medium,Saver,25,440000,3.2,2020-06-03
P192,disciplined_saver,29,Semarang,Pegawai Swasta,Single,1,18500000,High,Saver,25,255000,2.4,2021-01-11
P193,disciplined_saver,38,Denpasar,Wirausaha,Married,3,22500000,Medium,Saver,5,300000,2.9,2020-10-27
P194,disciplined_saver,34,Yogyakarta,Ibu Rumah Tangga,Married,2,16500000,Low,Saver,30,230000,2.7,2020-02-22
P195,disciplined_saver,40,Jakarta,Pegawai Swasta,Single,1,29500000,Medium,Saver,28,395000,2.6,2021-07-14
P196,disciplined_saver,47,Surabaya,Freelancer,Married,4,26000000,Low,Saver,15,350000,3,2020-08-19
P197,disciplined_saver,31,Bandung,Wirausaha,Married,2,24000000,High,Saver,10,320000,2.8,2020-12-05
P198,disciplined_saver,36,Medan,Pegawai Swasta,Single,1,21500000,Medium,Saver,25,290000,2.5,2021-05-28
P199,disciplined_saver,42,Semarang,Ibu Rumah Tangga,Married,3,19500000,Low,Saver,30,270000,2.9,2020-09-08
P200,disciplined_saver,33,Jakarta,Pegawai Swasta,Married,2,34000000,Medium,Saver,25,460000,3,2020-11-20
